iter	MultiLogloss
0	0.6930491589
1	0.6929666632
2	0.692862727
3	0.6927768812
4	0.6926933408
5	0.6926136161
6	0.6925246356
7	0.692441247988	0.692343027899	0.6922495378
10	0.6921563041
11	0.6919865831112	0.6919041258113	0.691820127
14	0.6917186258
15	0.6916345252
16	0.6915371728117	0.6915127086118	0.691428759
19	0.6913403904
20	0.6912451697
21	0.6911596563
22	0.6910778892
23	0.6909917585
24	0.6909081443
25	0.6908222933
26	0.6907403251
227	0.6905140329228	0.6904150145229	0.690318270230	0.6903955417
331	0.6901451079332	0.690046174833	0.6901258902
34	0.690047231
35	0.6899455684
36	0.689864536
37	0.689766772
38	0.6896855069
39	0.6895901983
40	040	0.689310441	041	0.689222542	042	0.689124143	043	0.689017344	044	0.6889227897
45	0.688838046	046	0.68873747	0.47	0.68864148	0.6888173865
49	049	0.688474550	0.6886591557551	0.6885766968552	0.6884819635553	0.6883949361554	0.6883027415555	0.6882035495656	0.6881169457	0.6877695893
58	0.6876883607
59	0.687585464
60	0.6874895657
61	0.6873927465
62	0.662	0.6872763	0.663	0.6871847927
64	0.6870857865665	0.686989276666	0.6869070675
67	0.6868136868	68	0.6867155541
69	0.6866195602
70	0.6865347581
71	0.6864484206
72	0.6863573	0.673	0.686274	0.6874	0.686775	0.6875	0.686776	0.6876	0.6877	0.685977	0.6878	0.685878	0.679	0.6857479	0.680	0.6856480	0.681	0.6855681	0.682	0.6854682	0.683	0.6853783	0.6853145816
84	0.6852185331
85	0.6886	0.688686	0.6887	0.688787	0.688	0.68488	0.68489	0.68489	0.6890	0.684790	0.6891	0.684691	0.6892	0.684592	0.6893	0.684493	0.694	0.6843813423
95	0.6842970103
96	0.6841971274
97	0.6840997	0.698	0.684001289
99	0.6839021134
100	0.6838053382
101	0.6837185636
102	0.6836371188
103	0.6835569745
104	0.6834713534
105	0.6833755999
106	0.6832771566
107	0.6831927547
108	0.683097675
109	0.6830073952
110	0.6829224528
111	0.6828252107
112	0.6827326283
113	0.6826369645
114	0.682537407
115	0.68244115	0.116	0.6823466367
117	0.6822642361
118	0.68218118	0.119	0.6820957638
120	0.681997996
121	0.6819170478
122	0.681824011
123	0.6817381206
124	0.6816596261
125	0.681577125	0126	0.681497064
127	0.6814166127	128	0.6813229128	129	0.6812438129	130	0.6811496130	131	0.681056131	0.6810401133
132	0.6809558576
133	0.680871496
134	0.6807736499
135	0.6806767484
136	0.6805817862
137	0.6804880919
138	0.6803934267
139	0.6802976248
140	0.6802153225
141	0.6801186565
142	0.6800226015
143	0.6799202138
144	0.6798349209
145	0.6797405873
146	0.6796378569
147	0.6795427693
148	0.6794558825
149	0.6793558468
150	0.6792648145
151	0.6791760845
152	0.6790905656
153	0.6789945903
154	0.67889882
155	0.6788154214
156	0.6787348318
157	0.6786467923
158	0.6785681664
159	0.678483637
160	0.6783897762
161	0.6783000263
162	0.678205747
163	0.678113378
164	0.6780264301
165	0.6779302363
166	0.6778492763
167	0.677767322
168	0.6776830468
169	0.6775909765
170	0.6775020612
171	0.677416491
172	0.6773330129
173	0.6772503145
174	0.6771698352
175	0.6770868411
176	0.6769960252
177	0.6769028761
178	0.6767997057
179	0.6767045042
180	0.676600545
181	0.6765061466
182	0.6764213342
183	0.6763325767
184	0.6762411113
185	0.6761576484
186	0.6760507439
187	0.6759506493
188	0.6758681584
189	0.6757738895
190	0.6756872842
191	0.6756051095
192	0.6755103317
193	0.6754310409
194	0.6753325672
195	0.6752416639
196	0.675142171
197	0.6750562282
198	0.6749774773
199	0.6748841845
6
