iter	MultiLogloss
0	0.6527188646
1	0.6172135692
2	0.588057888733	0.560902533744	0.538499127555	0.51465888
6	0.4927104696
7	0.4721776599
8	0.4561807265
9	0.4436127906
10	0.4304880725
11	0.4218191557
12	0.4114242652
13	0.4011338757
14	0.3946611143
15	0.3889052401
16	0.382322307
17	0.3755753662
18	0.3701783802
19	0.364872893
20	0.3599490536
21	0.3553476869
22	0.3521218101
23	0.3478939554
24	0.3439601783
25	0.3399896899
26	0.3374469085
27	0.3340485623
28	0.3312338605
29	0.3278701177
30	0.3253121943
31	0.3224139868
32	0.3202959889
33	0.3188201157
34	0.3162593276
35	0.3141627666
36	0.3126482581
37	0.3112439763
38	0.3090998574
39	0.3075679592
40	0.3061748313
41	0.3044176336
42	0.3031826416
43	0.3008653901
44	0.2999071905
45	0.2978061895
46	0.2968723206
47	0.2951331054
48	0.2943226778
49	0.2934771231
50	0.2930271829
51	0.2918583704
52	0.290804673
53	0.2897380587
54	0.2891896968
55	0.287453651
56	0.2866512344
57	0.2856994423
58	0.2854246143
59	0.2845211701
60	0.2836522548
61	0.2821146917
62	0.2811685212
63	0.2798395079
64	0.2792665509
65	0.2790153555
66	0.2776367762
67	0.2765365542
68	0.2754866069
69	0.2744829805
70	0.2727739481
71	0.2715825821
72	0.2710703024
73	0.2708449932
74	0.269840594
75	0.2687190948
76	0.2680651871
77	0.2667207152
78	0.2660233082
79	0.2655697117
80	0.264582254
81	0.2639530902
82	0.2635943803
83	0.2631982454
84	0.2626791412
85	0.2618422148
86	0.2613742103
87	0.2609850121
88	0.2607026543
89	0.2593810337
90	0.2584445145
91	0.2571266168
92	0.2562936305
93	0.2551291807
94	0.2541394218
95	0.2538526068
96	0.2532288062
97	0.2526758388
98	0.2510997745
99	0.2505649814
100	0.2503332304
101	0.2498676355
102	0.2488605896
103	0.2483013155
104	0.2472607558
105	0.2462683006
106	0.2461697799
107	0.2454452848
108	0.2451654698
109	0.2438229546
110	0.243205035
111	0.2417028385
112	0.2413167252
113	0.2406998202
114	0.2399925313
115	0.2393949526
116	0.238237805
117	0.2378414237
118	0.2373879684
119	0.2367928224
120	0.2355360229
121	0.2348978961
122	0.2340368747
123	0.2332132662
124	0.2328992392
125	0.2321934234
126	0.2307247611
127	0.2294802725
128	0.2286001605
129	0.2274239414
130	0.2272445651
131	0.2268128845
132	0.2256129809
133	0.2248361544
134	0.2245671119
135	0.2244652017
136	0.2242245416
137	0.2238947649
138	0.2235836411
139	0.22273913
140	0.2224338277
141	0.2221776516
142	0.221696624
143	0.2208084516
144	0.2204296538
145	0.2203144661
146	0.2195972918
147	0.2188430592
148	0.2178544481
149	0.2167574755

99
