iter	Passed	Remaining
0	8	1235
1	17	1315
2	25	1241
3	32	1185
4	40	1179
5	48	1153
6	57	1176
7	67	1190
8	76	1193
9	84	1181
10	92	1167
11	96	1105
12	103	1093
13	111	1086
14	120	1084
15	155	1304
16	176	1379
17	185	1361
18	190	1312
19	198	1291
20	206	1271
21	216	1257
22	223	1235
23	231	1214
24	239	1197
25	247	1178
26	253	1156
27	263	1147
28	272	1138
29	280	1120
30	289	1111
31	297	1095
32	305	1082
33	313	1070
34	322	1058
35	330	1045
36	338	1034
37	346	1020
38	354	1008
39	362	996
40	370	985
41	378	972
42	386	961
43	393	948
44	401	936
45	408	923
46	415	911
47	423	900
48	431	888
49	438	877
50	443	861
51	452	852
52	460	843
53	468	833
54	477	824
55	485	815
56	494	807
57	502	797
58	510	787
59	522	784
60	53063	5361	574	815
62	583	805
63	590	794
64	599	784
65	607	772
66	622	771
67	631	761
68	638	750
69	646	739
70	655	729
71	679	736
72	689	726
73	698	717
74	707	707
75	714	695
76	723	685
77	731	674
78	741	666
79	751	657
80	759	646
81	767	636
82	775	626
83	783	615
84	791	604
85	799	594
86	806	584
87	814	573
88	822	563
89	831	554
90	839	544
91	848	535
92	859	526
93	867	516
94	875	506
95	883	497
96	891	487
97	899	477
98	907	467
99	915	457
100	923	448
101	931	438
102	942	430
103	949	420
104	959	411
105	967	401
106	974	391
107	981	381
108	1004	377
109	1012	368
110	1021	358
111	1029	349
112	1037	339
113	1044	329
114	1051	319
115	1057	309
116	1064	300
117	1071	290
118	1079	281
119	1086	271
120	1093	262
121	1099	252
122	1106	242
123	1112	233
124	1118	223
125	1124	214
126	1157	209
127	1164	200
128	1170	190
129	1176	181
130	1181	171
131	1203	164
132	1209	154
133	1214	145
134	1233	137
135	1238	127
136	1243	118
137	1249	108
138	1254	99
139	1265	90
140	1270	81
141	1279	72
142	1294	63
143	1310	54
144	1326	45
145	1341	36
146	1347	27
147	1358	18
148	1363	9
149	1368	0
